what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.reconciler.dropins",1416821778495
started,bundle,org.eclipse.equinox.p2.repository,1.0.1.R35x_v20100105,"org.eclipse.equinox.p2.repository",1416821778495
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.scheduler",1416821778496
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.0.v20090520-1905,"org.eclipse.equinox.p2.updatechecker",1416821778496
started,bundle,org.eclipse.equinox.preferences,3.2.301.R35x_v20091117,"org.eclipse.equinox.preferences",1416821778497
started,bundle,org.eclipse.equinox.registry,3.4.100.v20090520-1800,"org.eclipse.equinox.registry",1416821778497
started,bundle,org.eclipse.equinox.security,1.0.100.v20090520-1800,"org.eclipse.equinox.security",1416821778498
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.101.R35x_v20100209,"org.eclipse.equinox.simpleconfigurator.manipulator",1416821778498
started,bundle,org.eclipse.equinox.util,1.0.100.v20090520-1800,"org.eclipse.equinox.util",1416821778499
started,bundle,org.eclipse.help,3.4.1.v20090805_35x,"org.eclipse.help",1416821778499
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1416821778500
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,"org.eclipse.jdt.core.manipulation",1416821778501
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1416821778503
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1416821778504
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1416821778504
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1416821778504
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1416821778505
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1416821778506
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1416821778506
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1416821778508
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1416821778520
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1416821778520
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1416821778521
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1416821778522
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1416821778522
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1416821778523
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1416821778523
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1416821778524
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1416821778525
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1416821778526
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1416821778527
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1416821778527
started,bundle,com.collabnet.subversion.merge,3.0.13,"com.collabnet.subversion.merge",1416821778528
started,bundle,org.tigris.subversion.clientadapter,1.8.6,"org.tigris.subversion.clientadapter",1416821778528
started,bundle,org.tigris.subversion.subclipse.core,1.8.22,"org.tigris.subversion.subclipse.core",1416821778528
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1416821778528
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1416821778528
started,bundle,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui",1416821778529
started,bundle,com.google.gdt.eclipse.core,3.1.2.v201211121238-rel-r35,"com.google.gdt.eclipse.core",1416821778530
started,bundle,com.google.gdt.eclipse.login,3.1.2.v201211121238-rel-r35,"com.google.gdt.eclipse.login",1416821778531
started,bundle,com.google.gdt.eclipse.managedapis,3.1.2.v201211121238-rel-r35,"com.google.gdt.eclipse.managedapis",1416821778532
started,bundle,com.google.gdt.eclipse.suite.ext,3.1.2.v201211121238-rel-r35,"com.google.gdt.eclipse.suite.ext",1416821778532
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1416821778535
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.1.R201001291118,"org.eclipse.epp.usagedata.gathering",1416821778535
started,bundle,org.eclipse.epp.usagedata.recording,1.1.1.R201001291118,"org.eclipse.epp.usagedata.recording",1416821778536
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1416821778537
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1416821778537
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1416821778537
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1416821778538
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1416821778539
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1416821778539
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1416821778540
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1416821778541
os,sysinfo,,,"win32",1416821778545
arch,sysinfo,,,"x86",1416821778545
ws,sysinfo,,,"win32",1416821778546
locale,sysinfo,,,"en_IN",1416821778546
processors,sysinfo,,,"4",1416821778546
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1416821778546
java.runtime.version,sysinfo,,,"1.7.0_55-b14",1416821778546
java.specification.name,sysinfo,,,"Java Platform API Specification",1416821778546
java.specification.vendor,sysinfo,,,"Oracle Corporation",1416821778546
java.specification.version,sysinfo,,,"1.7",1416821778546
java.vendor,sysinfo,,,"Oracle Corporation",1416821778546
java.version,sysinfo,,,"1.7.0_55",1416821778546
java.vm.info,sysinfo,,,"mixed mode, sharing",1416821778546
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1416821778546
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1416821778546
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1416821778546
java.vm.specification.version,sysinfo,,,"1.7",1416821778546
java.vm.vendor,sysinfo,,,"Oracle Corporation",1416821778546
java.vm.version,sysinfo,,,"24.55-b03",1416821778546
started,bundle,com.salesforce.ide.api,28.0.1.201309101331,"com.salesforce.ide.api",1416821778824
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1416821782191
started,bundle,com.google.gdt.eclipse.platform.e35,3.1.2.v201211121238-rel-r35,"com.google.gdt.eclipse.platform.e35",1416821782193
started,bundle,com.salesforce.ide.core.compatibility,28.0.1.201309101331,"com.salesforce.ide.core.compatibility",1416821782197
started,bundle,com.salesforce.ide.core.compatibility.auth.platformdb,28.0.1.201309101331,"com.salesforce.ide.core.compatibility.auth.platformdb",1416821782200
started,bundle,com.google.gwt.eclipse.core,3.1.2.v201211121238-rel-r35,"com.google.gwt.eclipse.core",1416821782286
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1416821782323
started,bundle,com.salesforce.ide.core,28.0.1.201309101331,"com.salesforce.ide.core",1416821782402
started,bundle,com.salesforce.ide.ui,28.0.1.201309101331,"com.salesforce.ide.ui",1416821782498
started,bundle,com.salesforce.ide.ui.editors.intro,28.0.1.201309101331,"com.salesforce.ide.ui.editors.intro",1416821782513
started,bundle,com.salesforce.ide.upgrade,28.0.1.201309101331,"com.salesforce.ide.upgrade",1416821782515
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1416821786196
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1416821786413
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1416821786438
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416821792994
error,log,,,"ERROR [2014-11-24 15:11:58,827] (ProjectPackageList.java:generateComponents:473) - Filepath-zip mapping is null or empty for package 'Salesforce Connected Apps' [0A3O00000000TZgKAM] - skipping component generation\r\n",1416822118878
error,log,,,"ERROR [2014-11-24 15:12:00,020] (ProjectPackageList.java:generateComponents:473) - Filepath-zip mapping is null or empty for package 'Salesforce1 and Chatter Apps' [0A3900000001OMPCA2] - skipping component generation\r\n",1416822120074
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416822263338
started,bundle,org.eclipse.wst.html.core,1.1.300.v200903120608,"org.eclipse.wst.html.core",1416822265744
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416822271422
